Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,600,1181,77,2395,475.08,0.000%,4.71709,0.55,1.01,120.0
TOTAL,600,1181,77,2395,475.08,0.000%,4.71709,0.55,1.01,120.0
